"Order","Family","genus_or_species_n_rows","total_n_rows","percentage","num_genera_without_genus_value","num_genera_without_genus_value_with_real_names","num_rows_in_real_genera","num_SSBS_in_real_genera","avg_rows_per_SSBS_in_real_genera","countries_by_frequency"
"Coleoptera","Clambidae",20,984,0.02,1,1,20,20,1,"New Zealand"
"Coleoptera","Cleridae",527,2410,0.22,22,4,311,284,1.09507042253521,"New Zealand, Brazil, Switzerland, Gabon"
"Diptera","Clusiidae",24,57,0.42,2,2,24,6,4,"Canada, United States"
"Coleoptera","Coccinellidae",569,8434,0.07,46,13,173,35,4.94285714285714,"Mexico, Brazil, Gabon, United Kingdom"
"Diptera","Coelopidae",9,9,1,1,1,9,9,1,"Canada"
"Odonata","Coenagrionidae",116,191,0.61,9,9,116,50,2.32,"Indonesia, New Zealand, India"
"Lepidoptera","Coleophoridae",110,562,0.2,2,2,110,28,3.92857142857143,"United States, Serbia"
"Hymenoptera","Colletidae",1064,8785,0.12,18,18,1064,116,9.17241379310345,"Australia, New Zealand, Argentina"
"Neuroptera","Coniopterygidae",32,80,0.4,2,2,32,32,1,"New Zealand, Gabon"
"Diptera","Conopidae",116,262,0.44,4,4,116,58,2,"Germany, Gabon, Canada, United Kingdom"
"Odonata","Corduliidae",6,18,0.33,1,1,6,6,1,"Indonesia"
"Hemiptera","Coreidae",86,868,0.1,4,4,86,70,1.22857142857143,"Hungary, Australia, Gabon"
"Hemiptera","Corixidae",152,152,1,1,1,152,152,1,"Portugal"
"Blattodea","Corydiidae",192,192,1,1,1,192,192,1,"Portugal"
"Coleoptera","Corylophidae",47,3092,0.02,2,2,47,37,1.27027027027027,"New Zealand, Spain, Gabon"
"Lepidoptera","Cosmopterigidae",206,486,0.42,3,3,206,90,2.28888888888889,"United States"
"Lepidoptera","Cossidae",144,149,0.97,1,1,144,144,1,"United States"
"Hymenoptera","Crabronidae",12,475,0.03,1,1,12,12,1,"Gabon"
"Coleoptera","Cryptophagidae",12,6794,0,2,2,12,7,1.71428571428571,"Spain, New Zealand"
"Coleoptera","Cucujidae",12,540,0.02,1,1,12,12,1,"Gabon"
"Diptera","Culicidae",37575,48476,0.78,17,17,37575,1186,31.6821247892074,"Brazil, Canada, Peru, United States, Gabon"
"Coleoptera","Curculionidae",10430,47577,0.22,85,85,10430,801,13.0212234706617,"New Zealand, Portugal, Brazil, Hungary, United Kingdom, Spain, Gabon, Serbia, Sweden, Kenya, Tunisia"
"Hemiptera","Cydnidae",202,641,0.32,4,4,202,193,1.04663212435233,"Portugal, New Zealand, Brazil, Gabon"
"Hemiptera","Delphacidae",1656,5784,0.29,78,11,852,491,1.73523421588595,"United Kingdom, Portugal, Hungary, Gabon"
"Hemiptera","Derbidae",1093,1200,0.91,91,4,49,37,1.32432432432432,"Gabon, Australia, Brazil"
"Coleoptera","Dermestidae",318,1198,0.27,10,10,318,292,1.08904109589041,"New Zealand, Switzerland, Gabon, Spain"
"Coleoptera","Derodontidae",233,292,0.8,1,1,233,233,1,"New Zealand"
"Hymenoptera","Diapriidae",120,922,0.13,2,2,120,120,1,"United Kingdom, Gabon"
"Hemiptera","Dictyopharidae",172,188,0.91,5,2,136,94,1.4468085106383,"Hungary, Gabon"
"Diptera","Diopsidae",12,12,1,1,1,12,12,1,"Gabon"
"Diptera","Dixidae",12,31,0.39,1,1,12,12,1,"Gabon"
"Diptera","Dolichopodidae",839,3037,0.28,44,6,383,149,2.57046979865772,"New Zealand, United Kingdom, Canada, Gabon"
"Lepidoptera","Drepanidae",144,677,0.21,1,1,144,144,1,"United States"
"Diptera","Drosophilidae",512,990,0.52,10,10,512,101,5.06930693069307,"Brazil, Germany, Switzerland, Canada, Gabon, United Kingdom, United States"
"Hymenoptera","Dryinidae",32,100,0.32,2,2,32,32,1,"New Zealand, Gabon"
"Coleoptera","Dryopidae",304,337,0.9,1,1,304,152,2,"Portugal"
"Coleoptera","Dynastidae",59,137,0.43,4,4,59,59,1,"Egypt, New Zealand, Spain, Nigeria"
"Coleoptera","Dytiscidae",505,1356,0.37,3,3,505,505,1,"New Zealand, Portugal, United Kingdom, Gabon"
"Blattodea","Ectobiidae",172,988,0.17,2,2,172,172,1,"Portugal, New Zealand"
"Psocodea","Ectopsocidae",672,876,0.77,1,1,672,260,2.58461538461538,"Portugal, United Kingdom"
"Coleoptera","Elateridae",1611,13425,0.12,21,20,1547,728,2.125,"Portugal, New Zealand, Brazil, Canada, Benin, Burkina Faso, Egypt, Spain, France, Gabon, Israel, United Kingdom"
"Psocodea","Elipsocidae",304,336,0.9,1,1,304,152,2,"Portugal"
"Diptera","Empididae",346,1132,0.31,6,6,346,181,1.91160220994475,"Germany, United Kingdom, New Zealand, Gabon"
"Hymenoptera","Encyrtidae",308,500,0.62,23,5,92,32,2.875,"New Zealand, Gabon"
"Coleoptera","Endomychidae",169,646,0.26,3,3,169,169,1,"Portugal, Gabon, Spain"
"Hemiptera","Enicocephalidae",12,135,0.09,1,1,12,12,1,"Gabon"
"Diptera","Ephydridae",356,541,0.66,15,15,356,35,10.1714285714286,"Canada, New Zealand, United States"
"Psocodea","Epipsocidae",152,216,0.7,1,1,152,152,1,"Portugal"
"Lepidoptera","Epipyropidae",64,64,1,1,1,64,64,1,"United States"
"Lepidoptera","Eriocottidae",64,64,1,1,1,64,64,1,"United States"
"Lepidoptera","Eriocraniidae",2,2,1,1,1,2,2,1,"Serbia"
"Coleoptera","Erirhinidae",247,2093,0.12,1,1,247,245,1.00816326530612,"New Zealand"
"Coleoptera","Erotylidae",480,1823,0.26,2,2,480,247,1.94331983805668,"New Zealand, Gabon"
"Hymenoptera","Eucharitidae",60,108,0.56,5,1,12,12,1,"Gabon"
"Coleoptera","Eucinetidae",238,558,0.43,1,1,238,238,1,"New Zealand, Spain"
"Coleoptera","Eucnemidae",12,853,0.01,1,1,12,12,1,"Gabon"
"Hymenoptera","Eulophidae",249,680,0.37,16,5,117,57,2.05263157894737,"Switzerland, Kenya, Gabon"
"Hymenoptera","Eupelmidae",84,136,0.62,7,1,12,12,1,"Gabon"
"Odonata","Euphaeidae",36,36,1,3,3,36,12,3,"Indonesia, India"
"Hymenoptera","Eurytomidae",108,138,0.78,9,1,12,12,1,"Gabon"
"Hymenoptera","Evaniidae",12,27,0.44,1,1,12,12,1,"Gabon"
"Diptera","Fanniidae",488,712,0.69,3,3,488,158,3.08860759493671,"Germany, Canada, United Kingdom, United States, Brazil"
"Hymenoptera","Figitidae",52,486,0.11,3,3,52,32,1.625,"New Zealand, Gabon"
"Hemiptera","Flatidae",283,629,0.45,6,5,271,255,1.06274509803922,"Portugal, Australia, New Zealand, Kenya, Gabon"
"Dermaptera","Forficulidae",327,456,0.72,1,1,327,327,1,"United Kingdom, Portugal, Kenya"
"Hymenoptera","Formicidae",4742,123630,0.04,57,57,4742,1191,3.98152812762385,"Brazil, Colombia, United States, Guatemala, Malaysia, Cote d'Ivoire, Argentina, India, Puerto Rico, Australia, Mexico, Japan, Costa Rica, Kenya, Gabon, United Kingdom, French Guiana"
"Hemiptera","Fulgoridae",60,77,0.78,5,1,12,12,1,"Gabon"
"Hymenoptera","Gasteruptiidae",12,28,0.43,1,1,12,12,1,"Gabon"
"Hemiptera","Gelastocoridae",28,28,1,2,2,28,28,1,"Australia, Gabon"
"Lepidoptera","Gelechiidae",1440,3600,0.4,14,14,1440,502,2.86852589641434,"United States, United Kingdom, Portugal"
"Lepidoptera","Geometridae",12467,37963,0.33,103,103,12467,563,22.1438721136767,"United States, United Republic of Tanzania, Portugal, New Zealand, United Kingdom, Romania, Germany, Gabon"
"Coleoptera","Geotrupidae",35,225,0.16,3,3,35,20,1.75,"France, Italy, United States"
"Diptera","Glossinidae",12,12,1,1,1,12,12,1,"Gabon"
"Odonata","Gomphidae",36,48,0.75,6,6,36,12,3,"Indonesia, India"
"Lepidoptera","Gracillariidae",202,880,0.23,4,4,202,116,1.74137931034483,"Serbia, United States"
